,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
Challenge pass 25 rate,-0.09914133097851409,-0.10316333817082403,-0.09872286235439692,-0.10648539515567833,-0.11013215747731916,0.19696782251580852,0.4456347826338518,0.07154825544216305,0.28988380465532326,0.23990345213590608,0.06279689630689073,0.06296023646289453,0.06272505367703478,0.07523650515894142,0.4935138483226829,0.06277184572443517,0.05365867083510428,0.044262611231272814,0.06838981563642667,0.0660104351285056,0.06480805986255926,0.20230974154673623,0.461877365519319,1.0,0.9466855486719465,0.8584729184960256,-0.10052186857406267,0.07474049807579167,0.041853811958398324,-0.10672578393268774,-0.13946071392171894,-0.10489846821929713,0.14928825277234187,-0.1977294951390938,-0.05240239572105276
Challenge pass 50 rate,-0.08266434435314512,-0.08737014988596314,-0.0832760176950548,-0.09273189023706963,-0.09856356911402825,0.055321827557812814,0.3831172361862623,0.09674665741942953,0.1715420153987966,0.2640552106470309,0.09102068104949324,0.0912066000568417,0.09091014328759457,0.10572569267144007,0.4824459480327779,0.09136416561659895,0.0782477821116454,0.06931810504457252,0.09612336780696971,0.09459438260353609,0.09356864899690039,0.16096123443601998,0.5760893982568562,0.9466855486719465,1.0,0.9562868770362617,-0.08605481324579929,0.10543626249567284,-0.052009032538953996,-0.09239204401555134,-0.12588868157032512,-0.09057919120029377,0.0713695888794135,-0.1798028138152485,-0.10033231174682686
Challenge pass 75 rate,-0.06651512387334095,-0.07167804187728061,-0.0676196981107339,-0.07837714940673515,-0.08580615848074763,0.011367618655691502,0.3241335588494114,0.11554621801081054,0.13246313448309882,0.2099317457928894,0.11065016149940957,0.11085502705262051,0.11052083402172874,0.12624896325672907,0.4080463456430265,0.11099198855953787,0.09531351727563425,0.08642664392443593,0.11549566145043767,0.1141303977071655,0.11328064916374003,0.08576987173876205,0.6497151441622607,0.8584729184960256,0.9562868770362617,1.0,-0.07094593278830667,0.1260420410729557,-0.0859052978092335,-0.0776358787669497,-0.11092857971195148,-0.07590613909682534,0.04730327100492927,-0.15924768177674548,-0.12678425502203686
Redirect count,0.9990953250834997,0.9995999721151831,0.9996616477691984,0.998104370478864,0.9901954413411027,-0.04025184533469115,0.1497334696238327,0.16142710937809776,-0.09824867825953573,0.5173447715525039,0.1621784502286427,0.16214245400583976,0.1622177530112611,0.15233110455071508,-0.07535244908668205,0.16237705924732898,0.15965199747589123,0.15896534115075198,0.161729255119107,0.16206055142810846,0.16223831550739498,-0.07730675282468807,-0.037532975658720324,-0.10052186857406267,-0.08605481324579929,-0.07094593278830667,1.0,0.1523082472774524,-0.024577506936228732,0.9990922435987619,0.9816032355080953,0.9989196405039628,-0.03410156221036719,-0.020407066345351513,0.01392613248169831
Endcard shown,0.19260681143919603,0.16431863204022895,0.1775406024131203,0.09791941257380811,0.02446451939243572,-0.05282801347986575,-0.09806406866968666,0.9653930582550748,-0.04054276747496338,-0.04532230485944731,0.9586885726494206,0.9594913360841503,0.9580244271192989,0.9999584181615616,0.11267432414143047,0.9613398724403727,0.871266723599145,0.8342371626571425,0.9678459614067771,0.9645404513804344,0.9623667762429219,-0.0693431631055931,0.08933261735215774,0.07474049807579167,0.10543626249567284,0.1260420410729557,0.1523082472774524,1.0,-0.03923712271554706,0.11354293639306172,0.014380862251604806,0.11480586779577263,-0.05630672189491431,-0.023911930517667625,-0.013082758495348776
Redirect rate,-0.027656434916687903,-0.02655401373707315,-0.02610856077903695,-0.02443676512885882,-0.02165371588678468,0.7533583837963096,0.45952511987303846,-0.0304199198258145,0.5320044444793628,0.05870932523587628,-0.03488206936649303,-0.03493214427366909,-0.03477914130109529,-0.039087661728510345,0.004059131864950256,-0.034466028489807544,-0.03032666284436244,-0.027816621252489317,-0.034130141392574344,-0.03466849061211794,-0.03471350335677836,-0.0028263382406044026,-0.12235095397194576,0.041853811958398324,-0.052009032538953996,-0.0859052978092335,-0.024577506936228732,-0.03923712271554706,1.0,-0.02518941514224885,-0.03718006171913233,-0.0252957626649146,0.1544932353146809,-0.07982899247584745,-0.05236296614178721
Black view error,0.9966734074569603,0.9982601881027461,0.997824583001012,0.9996419840592976,0.9946333942915649,-0.04195398287666198,0.15513863166979244,0.12235937031023195,-0.10016603016746599,0.5244081699341931,0.12335869261098442,0.12330730910364975,0.12340856832964624,0.11356465915067043,-0.08054640284482191,0.12349801653456208,0.12301381922600699,0.1234201409372655,0.12270103626883076,0.12311206905097456,0.12333591904997142,-0.07566454014888811,-0.041882373865148495,-0.10672578393268774,-0.09239204401555134,-0.0776358787669497,0.9990922435987619,0.11354293639306172,-0.02518941514224885,1.0,0.9868365472341526,0.9996207278072803,-0.031469469344438415,-0.019652534486770377,0.014452019689632245
Rendering error,0.9752851635037015,0.9790448181073089,0.9779929985972831,0.9885666418363324,0.9916554877059441,-0.06774489788304763,0.13705771586425183,0.018046546571283798,-0.12643308259436295,0.5404466960431711,0.020179878925458857,0.020138562750979794,0.020141206661607482,0.01495599643229489,-0.10913117768272047,0.019328276497618035,0.02119766556998468,0.022584838033461306,0.0189334706035751,0.019175288589011633,0.019298358506814932,-0.08790887285227962,-0.0669500982810853,-0.13946071392171894,-0.12588868157032512,-0.11092857971195148,0.9816032355080953,0.014380862251604806,-0.03718006171913233,0.9868365472341526,1.0,0.987430808524134,-0.03465517403587555,0.021746603484605255,0.033969449367859825
Runtime error,0.996316673824287,0.9974970794912036,0.9976921172899805,0.999751809256834,0.9953775487225113,-0.04218223975281402,0.15041562131689104,0.11881383737054624,-0.09952735537023395,0.5234614767436185,0.11944811609561855,0.11944812751244456,0.11944916702662277,0.11486461452750973,-0.077240199405094,0.11966627456191725,0.11517780096059912,0.11433863627605555,0.11934385282447613,0.11951187846116529,0.11958464583112478,-0.07544109060567337,-0.043273890362895556,-0.10489846821929713,-0.09057919120029377,-0.07590613909682534,0.9989196405039628,0.11480586779577263,-0.0252957626649146,0.9996207278072803,0.987430808524134,1.0,-0.032508394353689074,-0.01953680967052996,0.016701633369154516
Black view error rate,-0.035885667514092064,-0.034074489937941085,-0.03549062070432248,-0.03140101420366756,-0.027573710311490987,0.06132258400535686,0.019639865749489376,-0.0527555968689559,0.02553576021251227,-0.12713488286368624,-0.05050297219513942,-0.05059980579308147,-0.05039949210418018,-0.05638066194335999,0.19664658284200096,-0.04972767122355693,-0.0452441013989783,-0.03796742821073903,-0.05137695656234973,-0.050533573797414764,-0.050094966647173785,-0.10566411382603863,0.07323086664057334,0.14928825277234187,0.0713695888794135,0.04730327100492927,-0.03410156221036719,-0.05630672189491431,0.1544932353146809,-0.031469469344438415,-0.03465517403587555,-0.032508394353689074,1.0,-0.04267279409029899,-0.058753289096261804
Rendering error rate,-0.021108889326180925,-0.020496264760523072,-0.0209785625784353,-0.019275958168411416,-0.017468716457071126,-0.1548918773631195,-0.245034452844254,-0.023113792700656034,-0.16566967960933124,-0.21182061502298055,-0.02189645703544726,-0.021932116683284396,-0.021859948317434517,-0.023907340025588482,-0.15126834021182137,-0.021534548772094205,-0.020544108258045524,-0.017074758548351245,-0.022304006308886785,-0.021931778459214946,-0.021738687106902643,-0.11638323902056932,-0.10223537461223128,-0.1977294951390938,-0.1798028138152485,-0.15924768177674548,-0.020407066345351513,-0.023911930517667625,-0.07982899247584745,-0.019652534486770377,0.021746603484605255,-0.01953680967052996,-0.04267279409029899,1.0,-0.09435080038907778
Runtime error rate,0.01372010284022745,0.01385038558558126,0.013493796599752434,0.014861347172723163,0.016204149754897156,-0.03820163744201551,-0.11034537197673555,-0.014526264839549332,0.03342753277751506,-0.12954012638742038,-0.011085081512359029,-0.01110212232444906,-0.011214619137545751,-0.012258759677577594,0.096983376588475,-0.012531739128162777,-0.011125195752596094,-0.01135838667574883,-0.012739601424350083,-0.01265616575413748,-0.012666892498322814,0.11454740937536519,-0.09854358546798608,-0.05240239572105276,-0.10033231174682686,-0.12678425502203686,0.01392613248169831,-0.013082758495348776,-0.05236296614178721,0.014452019689632245,0.033969449367859825,0.016701633369154516,-0.058753289096261804,-0.09435080038907778,1.0
