标签,样本数,Impressions,Spend,CTA clicked,CTA click rate,Unique redirects rate,HTML completion rate,Challenge solved rate,Average duration,Runtime error rate
点消,3,0.16463506067820238,0.17863238323637787,0.1966116672921181,1.3377712031558182,1.3924148606811146,0.9947816547173423,0.5744098008256131,0.9125835189309576,1.1467181467181464
拖消,6,0.4158186507447307,0.5098854738691754,0.20953934493041346,0.9866863905325443,0.9280185758513931,0.3941419087497366,0.9554140430307989,0.9334075723830735,0.7644787644787645
目标物品,4,7.349290968154718,7.284836337097651,7.611528078734247,0.7977071005917159,0.8264318885448916,1.0629728321105183,1.5144173150455609,0.9122772828507794,0.8918918918918917
